title,year,author,genres,pages
You Can't Go Home Again,1998,Thomas Wolfe,Fiction,711
The Fifth Mountain,1999,Paulo Coelho,Fiction,256
V.,1999,Thomas Pynchon,Fiction,547
Identity,1999,Milan Kundera,Fiction,168
The Poisonwood Bible,1999,Barbara Kingsolver,Fiction,546
Cloudsplitter,1999,Russell Banks,Fiction,758
"Plato, Not Prozac!",2000,Lou Marinoff,Philosophy,320
The Crying of Lot 49,1999,Thomas Pynchon,Fiction,152
The Map That Changed the World,2002,"Simon Winchester, Soun Vannithone",Biography & Autobiography,352
The Odyssey of Homer,1999,Homer,Fiction,374
Collected Novellas,1999,Gabriel Garcia Marquez,Fiction,288
Collected Stories,1999,Gabriel Garcia Marquez,Fiction,352
A Mulligan for Bobby Jobe,2002,Robert Cullen,Fiction,400
In the Footsteps of Mr. Kurtz,2002,Michela Wrong,History,338
Every Tongue Got to Confess,2002,Zora Neale Hurston,Literary Criticism,320
Kitchen Confidential,2000,Anthony Bourdain,Biography & Autobiography,302
One Matchless Time,2005,Jay Parini,Biography & Autobiography,528
The Girl in the Glass,2005,Jeffrey Ford,Fiction,304
The Best American Science Writing 2002,2002,"Matt Ridley, Alan Lightman",Science,352
Wittgenstein's Poker,2002,"David Edmonds, John Eidinow",Philosophy,368
Smart Discipline(R),2004,Larry Koenig,Family & Relationships,208
The Schopenhauer Cure,2006,Irvin Yalom,Fiction,358
African Nights,2000,Kuki Gallmann,Biography & Autobiography,336
The Autobiography of Mark Twain,2000,Charles Neider,Biography & Autobiography,508
Joy in the Morning,2000,Betty Smith,Fiction,296
Beauty,2005,John O'Donohue,"Body, Mind & Spirit",261
The Darling,2005,Russell Banks,Fiction,400
The Making of a Philosopher,2003,Colin McGinn,Philosophy,256
The Language Instinct,2000,Steven Pinker,Language Arts & Disciplines,448
Prodigal Summer,2001,Barbara Kingsolver,Fiction,444
Tales of the City,1989,Armistead Maupin,Fiction,371
Fear of Falling,1989,Barbara Ehrenreich,Social Science,292
The Hidden Hand,1992,Carroll John Daly,Fiction,272
Europe,1998,Norman Davies,History,1392
Savage Inequalities,1992,Jonathan Kozol,Education,272
Gold Bug Variations,1992,Richard Powers,Fiction,640
Three Farmers on Their Way to a Dance,1992,Richard Powers,Fiction,352
The Fourteen Sisters of Emilio Montez O'Brien,1996,Oscar Hijuelos,Fiction,496
Fiskadoro,1995,Denis Johnson,Fiction,221
The Stars at Noon,1995,Denis Johnson,Fiction,192
Operation Wandering Soul,1994,Richard Powers,Fiction,352
Reasons to Live,1995,Amy Hempel,Fiction,129
Prisoner's Dilemma,1996,Richard Powers,Fiction,352
The God of Small Things,1998,Arundhati Roy,Fiction,321
Courtesans and Fishcakes,1999,James Davidson,History,416
Girlfriend in a Coma,1999,Douglas Coupland,Fiction,288
The Long Hard Road Out of Hell,1999,"Marilyn Manson, Neil Strauss",Biography & Autobiography,275
Confessions of an Ugly Stepsister,2000,Gregory Maguire,Fiction,372
The Dirt,2002,"Tommy Lee, Vince Neil, Nikki Sixx, Mick Mars",Biography & Autobiography,431
Life Is Elsewhere,2000,"Milan Kundera, Aaron Asher",Fiction,432
Cat Laughing Last,2002,Shirley Rousseau Murphy,Fiction,368
The Crow: The Lazarus Heart,1999,Poppy Z. Brite,Fiction,336
Well of Darkness,2001,"Margaret Weis, Tracy Hickman",Fiction,562
The Light Fantastic,2000,Terry Pratchett,Fiction,241
U.S.S. Seawolf,2001,Patrick Robinson,Fiction,496
Realms of Dragons,1999,"Margaret Weis, Denise Little, Tracy Hickman",Fiction,218
The Player of Games,1997,Iain Banks,Fiction,293
My Soul to Keep,1998,Tananarive Due,Fiction,346
Peril's Gate,2002,Janny Wurts,Fiction,940
Fugitive Prince,1998,Janny Wurts,Fiction,704
Love in Vein,1995,Poppy Z. Brite,Fiction,397
Cat on the Edge,1996,Shirley Rousseau Murphy,Fiction,274
Cat in the Dark,1999,Shirley Rousseau Murphy,Fiction,320
Treasure Box,1997,Orson Scott Card,Fiction,384
Homebody,1999,Orson Scott Card,Fiction,430
Imajica II,1995,Clive Barker,Fiction,544
Choke,1996,Stuart Woods,Fiction,352
Dirt,1997,Stuart Woods,Fiction,448
Kilo Class,1999,Patrick Robinson,Fiction,512
Their Eyes Were Watching God,2006,Zora Neale Hurston,Fiction,219
A Tree Grows in Brooklyn,2006,Betty Smith,Fiction,496
One Hundred Years of Solitude,2006,Gabriel Garcia Marquez,Fiction,448
Daughter of Fortune,2006,Isabel Allende,Fiction,432
By the River Piedra I Sat Down and Wept,2006,Paulo Coelho,Fiction,208
The Alchemist,2006,Paulo Coelho,Fiction,197
Veronika Decides to Die,2006,Paulo Coelho,Fiction,210
Goodnight Moon 123,2007,"Margaret Wise Brown, Clement Hurd",Juvenile Fiction,32
Charlotte's Web Signature Edition,2006,E. B. White,Juvenile Fiction,224
By Myself and Then Some,2006,Lauren Bacall,Biography & Autobiography,512
The Art of Loving,2006,Erich Fromm,Self-Help,192
Factotum tie-in,2006,Charles Bukowski,Fiction,208
The White Masai,2006,Corinne Hofmann,Biography & Autobiography,320
Mandy,2006,Julie Andrews Edwards,Juvenile Fiction,320
The Crusader,2006,Paul Kengor,Political Science,432
Spider's House,2006,Paul Bowles,Fiction,432
Days,2006,Paul Bowles,Fiction,128
Howl,2006,"Allen Ginsberg, Barry Miles",Poetry,208
Coraline,2006,Neil Gaiman,Fiction,162
Points in Time,2006,Paul Bowles,Fiction,96
At the Edge,2007,Cait London,Fiction,384
Remind Me Again Why I Need A Man,2007,Claudia Carroll,Fiction,384
Stardust,2006,Neil Gaiman,Fiction,248
When the Heart Waits,2006,Sue Monk Kidd,Religion,240
The Gabriel Hounds,2006,Mary Stewart,Fiction,322
The Pact,2006,Jodi Picoult,Fiction,512
The Known World,2006,Edward P. Jones,Fiction,388
Ines of My Soul LP,2006,Isabel Allende,Fiction,528
Women,2007,Charles Bukowski,Fiction,291
Smithsonian Intimate Guide to Human Origins,2007,Carl Zimmer,Social Science,176
My secret,2006,Frank Warren,,144
The Secret Lives of Men and Women,2007,Frank Warren,Self-Help,144
