title,year,author,genres,pages
More Plums in One,2007,Janet Evanovich,Fiction,792
James Herriot's Dog Stories,2006,James Herriot,,464
Beatrix Potter,2007,Linda Lear,Biography & Autobiography,584
The Twenty-Seventh City,2001,Jonathan Franzen,Fiction,528
"Haussmann, Or the Distinction",2002,Paul LaFarge,Fiction,379
The Journey to the East,2003,Hermann Hesse,Fiction,128
This Side of Brightness,2003,Colum McCann,Fiction,304
What Was She Thinking?,2004,Zoë Heller,Fiction,258
Middlesex,2003,Jeffrey Eugenides,Fiction,529
The Interpreter,2003,Suki Kim,Fiction,304
Hand to Mouth,2003,Paul Auster,Biography & Autobiography,176
A Feather on the Breath of God,2005,Sigrid Nunez,Fiction,192
Galatea 2.2,2004,Richard Powers,Fiction,329
Mason & Dixon,2004,Thomas Pynchon,Fiction,773
The River at the Center of the World,2004,Simon Winchester,Travel,416
Primo Levi,2004,Ian Thomson,Biography & Autobiography,640
Dry,2004,Augusten Burroughs,Biography & Autobiography,293
A Home at the End of the World,2004,Michael Cunningham,Fiction,342
Call It Sleep,2005,Henry Roth,Fiction,462
I Am Charlotte Simmons,2005,Tom Wolfe,Fiction,738
Small Island,2004,Andrea Levy,Fiction,441
Collected Prose,2005,Paul Auster,,528
Saints at the River,2005,Ron Rash,Fiction,239
Chemistry and Other Stories,2007,Ron Rash,Fiction,230
Vita,2006,Melania G. Mazzucco,Fiction,433
Night Draws Near,2006,Anthony Shadid,History,507
A Woman in Berlin,2006,Anonymous,Biography & Autobiography,261
The Brooklyn Follies,2006,Paul Auster,Fiction,306
Limitations,2006,Scott Turow,Fiction,208
The Price of the Ticket,1985,James Baldwin,Literary Criticism,712
The Humanoids,1996,Jack Williamson,Fiction,299
"The Demon Princes, Vol. 1",1997,Jack Vance,Fiction,446
The Memory of Whiteness,1996,Kim Stanley Robinson,Fiction,352
Xenocide,1996,Orson Scott Card,Fiction,592
The Dark Descent,1997,"Clive Barker, Ray Bradbury",Fiction,1011
Ports of Call,1999,Jack Vance,Fiction,300
"The Demon Princes, Vol. 2",1997,Jack Vance,Fiction,397
Jack of Kinrowan,1999,Charles de Lint,Fiction,412
Lurulu,2007,Jack Vance,Fiction,204
The Land of Laughs,2001,Jonathan Carroll,Fiction,256
Tales of the Dying Earth,2000,Jack Vance,Fiction,741
The Fantasies of Robert A. Heinlein,2002,Robert A. Heinlein,Fiction,342
Songmaster,2002,Orson Scott Card,Fiction,352
Lovelock,2001,"Orson Scott Card, Kathryn H. Kidd",Fiction,288
Duel,2003,Richard Matheson,Fiction,400
The Collected Stories of Arthur C. Clarke,2002,Arthur C. Clarke,Fiction,966
Sword & Citadel,1994,Gene Wolfe,Fiction,411
The Starry Rift,1994,James Tiptree,Fiction,250
Pacific Edge,1995,Kim Stanley Robinson,Fiction,336
Devil's Backbone,1991,Terry C. Johnston,Fiction,448
The Circle,1993,David Poyer,Fiction,543
Faking It,2004,Jennifer Crusie,Fiction,448
Welcome to Temptation,2004,Jennifer Crusie,Fiction,416
Full Bloom,2005,"Janet Evanovich, Charlotte Hughes",Fiction,344
Full Scoop,2006,"Janet Evanovich, Charlotte Hughes",Fiction,347
The Damned,2007,L. A. Banks,Fiction,492
The Cursed One,2006,Ronda Thompson,Fiction,305
A Quiver Full of Arrows,2005,Jeffrey Archer,Fiction,288
The Hunted,2005,L. A. Banks,Fiction,565
The Forbidden,2006,L. A. Banks,Fiction,490
When the Lion Feeds,2006,Wilbur Smith,Fiction,544
A Sparrow Falls,2007,Wilbur Smith,Fiction,640
The Unfortunate Miss Fortunes,2007,"Jennifer Crusie, Eileen Dreyer, Anne Stuart",Fiction,391
Hot Stuff,2007,"Janet Evanovich, Leanne Banks",Fiction,281
Two for the Dough,2007,Janet Evanovich,Fiction,325
The Edge of Honor,1995,P. T. Deutermann,Fiction,626
Wings of Fire,1999,Charles Todd,Fiction,306
All Creatures Great and Small,1998,James Herriot,Biography & Autobiography,437
The Lord God Made Them All,1998,James Herriot,Biography & Autobiography,373
Four to Score,1999,Janet Evanovich,Fiction,313
"Thrones, Dominations",1999,"Dorothy L. Sayers, Jill Paton Walsh",Fiction,322
Black Coffee,1999,Agatha Christie,Fiction,304
El Paso,1999,Matt Braun,Fiction,256
Search the Dark,2000,Charles Todd,Fiction,310
Cuba,2000,Stephen Coonts,Fiction,461
What the Corpse Revealed,2000,Hugh Miller,,320
Name Dropping,2001,Rachael F. Heller,Fiction,323
Seven Up,2002,Janet Evanovich,Fiction,337
Hardcase,2002,Dan Simmons,Fiction,291
Warlock,2002,Wilbur Smith,Fiction,642
Crooked House,2002,Agatha Christie,Fiction,276
Abandoned Prayers,2003,Gregg Olsen,,399
The Sigma Protocol,2002,Robert Ludlum,Fiction,662
True Believers,2002,Jane Haddam,Fiction,432
Full Blast,2004,"Janet Evanovich, Charlotte Hughes",Fiction,344
Hard Eight,2003,Janet Evanovich,Fiction,326
Eleven on Top,2006,Janet Evanovich,Fiction,321
Minion,2004,L. A. Banks,Fiction,286
The Janson Directive,2003,Robert Ludlum,Fiction,693
The Tristan Betrayal,2004,Robert Ludlum,Fiction,505
The Ambler Warning,2006,Robert Ludlum,Fiction,632
Robert Ludlum's The Moscow Vector,2006,"Robert Ludlum, Patrick Larkin",Fiction,464
The Firefly,2004,P. T. Deutermann,Fiction,528
As the Crow Flies,2004,Jeffrey Archer,Fiction,800
Dakota,2005,Matt Braun,Fiction,306
The Fantastic Vampire,2002,James Craig Holte,Literary Criticism,176
From Hinton to Hamlet,2005,"Sarah K. Herz, Donald R. Gallo",Literary Criticism,256
SantaKid,2004,James Patterson,Juvenile Fiction,48
Trials of Death,2005,Darren Shan,Juvenile Fiction,202
Oblivion,2005,David Foster Wallace,Fiction,329
Julie and Julia,2006,Julie Powell,Biography & Autobiography,307
The Truth of the Matter,2006,Robb Forman Dew,Fiction,352
The Beatles,2006,Bob Spitz,Biography & Autobiography,983
Twilight,2006,Stephenie Meyer,,498
Cirque Du Freak #10: The Lake of Souls,2006,Darren Shan,,272
The Terror,2007,Dan Simmons,Fiction,769
Hollywood Station,2006,Joseph Wambaugh,Fiction,340
The Harry Bosch Novels,2001,Michael Connelly,Fiction,794
Consider the Lobster,2005,David Foster Wallace,,343
The Bookseller of Kabul,2004,Asne Seierstad,Biography & Autobiography,288
Yiddish with Dick and Jane,2004,"Ellis Weiner, Barbara Davilman",Humor,112
The Lovely Bones,2004,Alice Sebold,Fiction,328
Blink,2005,Malcolm Gladwell,Business & Economics,277
Paint it Black,2006,Janet Fitch,Fiction,387
"The World Treasury of Physics, Astronomy, and Mathematics",1993,"Timothy Ferris, Clifton Fadiman",Education,859
White Oleander,2000,Janet Fitch,Fiction,480
Midnight Riders,1996,Scott Freeman,Music,343
The Magus,2001,John Fowles,Fiction,656
Mythology,1998,Edith Hamilton,Social Science,497
"Last Lion, The: Volume 1",1983,William Manchester,Biography & Autobiography,992
Candy,2003,Mian Mian,Fiction,279
The Black Veil,2002,Rick Moody,Family & Relationships,336
"Harry Bosch Novels, The: Volume 2",2003,Michael Connelly,Fiction,821
Miracle on the 17th Green,1996,"James Patterson, Peter De Jonge",Fiction,160
The Ice Storm,2002,Rick Moody,Fiction,288
Gossip Girl #6: You're the One That I Want,2004,Cecily von Ziegesar,Juvenile Fiction,224
The Catcher in the Rye,1991,J.D. Salinger,Fiction,234
Mind Over Money,1998,"John W. Schott, Jean S. Arbeiter",Business & Economics,260
Strangers from a Different Shore,1998,Ronald Takaki,History,640
Stephen King Omnibus,1999,Stephen King,,812
Vampire Mountain,2004,Darren Shan,Juvenile Fiction,208
An Unfinished Life,2004,Robert Dallek,Biography & Autobiography,849
Gossip Girl #1,2002,Cecily von Ziegesar,,224
Gossip Girl #3: All I Want is Everything,2003,Cecily von Ziegesar,,240
A Supposedly Fun Thing I'll Never Do Again,1997,David Foster Wallace,Humor,353
Brideshead Revisited,1982,Evelyn Waugh,Fiction,351
The Complete Stories of Evelyn Waugh,2000,Evelyn Waugh,Fiction,640
Don't Stop the Carnival,1992,Herman Wouk,Fiction,416
Youngblood Hawke,1992,Herman Wouk,Fiction,783
American Government,2005,"Karen O'Connor, Larry Sabato",Political Science,792
Essentials of American Government,2005,"Karen O'Connor, Larry J. Sabato",Political Science,604
The Non-designer's Web Book,2006,"Robin Williams, John Tollett",,335
Don't Make Me Think!,2006,Steve Krug,,201
"Mary Wollstonecraft Shelley's Frankenstein, or, The modern Prometheus",2007,"Mary Wollstonecraft Shelley, Susan J. Wolfson",Fiction,431
Oscar Wilde's The Picture of Dorian Gray,2007,"Oscar Wilde, Andrew Elfenbein",Fiction,352
Andrew Carnegie and the Rise of Big Business,2007,Harold C. Livesay,Biography & Autobiography,230
The Power of One,2000,Louis E. Catron,Performing Arts,240
The Little Prince,1974,"Antoine de Saint-Exupéry, Katherine Woods",,96
The Thirteenth Tribe,1977,Arthur Koestler,,224
Invisible Cities,1979,Italo Calvino,,126
Running in the Family,1984,Michael Ondaatje,,207
The Circus of Adventure,1988,Enid Blyton,Juvenile Fiction,192
The Island of Adventure,1988,Enid Blyton,,192
The African Trilogy,1988,Chinua Achebe,English fiction,560
A Gift of Wings,1989,Richard Bach,,299
The Orchard Keeper,1994,Cormac McCarthy,,256
The Real Frank Zappa Book,1990,"Frank Zappa, Peter Occhiogrosso",,352
A Dangerous Fortune,1994,Ken Follett,,596
The Border Trilogy,2002,Cormac McCarthy,Fiction,1038
Misreadings,1994,Umberto Eco,Literary Criticism,180
Vurt,1994,Jeff Noon,,352
In Pharaoh's Army,1995,Tobias Wolff,,224
The Reality Dysfunction,1997,Peter F. Hamilton,English fiction,1223
Paper Money,1996,Ken Follett,,286
An Unquiet Mind,1997,Kay Redfield Jamison,Biography & Autobiography,240
The Golden Key,1997,"Melanie Rawn, Jennifer Roberson, Kate Elliott",,1074
Into the Wild,1998,Jon Krakauer,,206
A Second Chance at Eden,1999,Peter F. Hamilton,Science fiction,496
The Memoirs of Cleopatra,1998,Margaret George,,1139
Just Disgusting!,2002,Andy Griffiths,,180
Bridget Jones,1999,Helen Fielding,,422
Rumer Godden,1999,Anne Chisholm,,335
Four to Score,1999,Janet Evanovich,,311
High Five,2000,Janet Evanovich,,336
Hot Six,2001,Janet Evanovich,,324
The Sign of the Cross,2001,Colm Tóibín,,243
Them,2002,Jon Ronson,,328
Just as Long as We're Together,2006,Judy Blume,,202
Hour Game,2005,David Baldacci,Fiction,726
Bosnia,2002,Noel Malcolm,,384
Every Boy's Got One,2005,Meg Cabot,,328
Under the Banner of Heaven,2004,Jon Krakauer,,369
Downsize This!,2002,Michael Moore,,278
Marching Powder,2004,Rusty Young,,371
Absolute Power,2003,David Baldacci,,550
Chasing the Monsoon,2005,Alexander Frater,,273
Indecision,2006,Benjamin Kunkel,Fiction,256
Blackout,2000,John J. Nance,,672
American Psycho,2000,Bret Easton Ellis,American fiction,399
The Mimic Men,2002,V. S. Naipaul,,278
A Bend in the River,2002,V. S. Naipaul,Fiction,326
The Enigma of Arrival,2002,V. S. Naipaul,,387
A House for Mr Biswas,1961,Vidiadhar Surajprasad Naipaul,,623
The Hunters,2003,Claire Messud,American fiction,200
Dirt Music,2008,Tim Winton,Fiction,465
The Hitchhiker's Guide to the Galaxy,2002,Douglas Adams,,180
Ragtime,1975,E. L. Doctorow,Fiction,270
City on the Seine,1996,Andrew P. Trout,,288
Fire on the Mountain (Hb),2005,Adam Hochschild,,467
"The Poet, the Warrior, the Prophet",2002,Rubem A. Alves,Religion,148
From Russia with Love,1957,Ian Fleming,Adventure stories,208
Casino Royale,1988,Ian Fleming,,188
The Walls of Spyte,1988,"Dave Morris, Oliver Johnson, Jamie Thomson, Russ Nicholson, Geoff Wingate",,304
How the Irish Saved Civilization,1995,Thomas Cahill,,256
Escape,1996,James Clavell,Fiction,584
Flatmates,1997,Chris Manby,,320
Crucifix Lane,1998,Kate Mosse,,309
Shōgun,1975,James Clavell,,1152
Whirlwind,1999,James Clavell,Fiction,1231
Running Away from Richard,2001,Chris Manby,,470
"The Road to War, 1933-1939",2000,Andrew Hunt,,128
Five on a Treasure Island,2001,Enid Blyton,Adventure stories,256
Five Go Adventuring Again,2001,Enid Blyton,Children's stories,246
Five Go to Smuggler's Top,2001,Enid Blyton,Children's stories,266
Five Get Into a Fix,2001,Enid Blyton,,250
Five Have a Mystery to Solve,2001,Enid Blyton,Children's stories,280
On Writing,2001,Stephen King,,384
Girl Meets Ape,2004,Chris Manby,,406
The Waste Lands,2003,Stephen King,,584
The Art of Happiness at Work,2003,"Dalai Lama XIV Bstan-ʼdzin-rgya-mtsho, Howard C. Cutler",,224
Stranger in a Strange Land,2005,Robert A. Heinlein,Science fiction,672
The Pact,2005,Jodi Picoult,,480
Interstellar Pig,2001,William Sleator,,200
Nightingale's Song,2006,Kate Pennington,Juvenile Fiction,219
The Secret Seven,2006,Enid Blyton,,144
A Fish Dinner in Memison,1970,Eric Rucker Eddison,,190
Tales of the Cthulhu Mythos,1975,Howard Phillips Lovecraft,,241
Visions from Nowhere,1976,William Arrow,Science fiction,183
The best of Philip K. Dick,1977,Philip K. Dick,Fiction,450
"Sir Gawain and the Green Knight, Pearl, and Sir Orfeo",1980,,Fiction,214
The Centurions,1981,Damion Hunter,Fiction,384
Story of O,1973,Pauline Réage,Fiction,199
The Crucible of Time,1984,John Brunner,Fiction,416
On a pale horse,1984,Piers Anthony,Fiction,325
"Job, a Comedy of Justice",1985,Robert Anson Heinlein,Fiction,439
With Friends Like These,1984,Alan Dean Foster,Fiction,236
The Doom that Came to Sarnath,1971,Howard Phillips Lovecraft,Fiction,208
Mission to Moulokin,1985,Alan Dean Foster,Fiction,294
The Fellowship of the Ring,1954,John Ronald Reuel Tolkien,Fiction,
The Fellowship of the Ring,2012,John Ronald Reuel Tolkien,Fantasy fiction,490
The Belgariad Boxed Set,1986,David Eddings,Fiction,1635
The Tolkien Reader,1986,J. R. R. Tolkien,Fiction,272
The Dragons of Eden,1977,Carl Sagan,Nature,271
The Best of H.P. Lovecraft,1982,H. P. Lovecraft,Fiction,406
The Adversary,1987,Julian May,Science,472
Five Patients,1989,Michael Crichton,Social Science,204
Douglas Adams's Starship Titanic,1998,Terry Jones,Fiction,256
Anne Rice's the Vampire Lestat,1991,"Faye Perozich, Anne Rice, Daerick Gross",Humor,404
The Book of Lost Tales,1992,John Ronald Reuel Tolkien,Fiction,367
Long Distance Life,1992,Marita Golden,,570
The Proud Highway,1998,Hunter S. Thompson,Biography & Autobiography,720
The Transition of H.P. Lovecraft,1996,Howard Phillips Lovecraft,Fiction,379
A history of God,1993,Karen Armstrong,,496
The Battle for God,2001,Karen Armstrong,Religion,480
Better Than Sex,1994,Hunter S. Thompson,Language Arts & Disciplines,272
First King of Shannara,1997,Terry Brooks,Fiction,435
Ilse Witch,2001,Terry Brooks,Fiction,456
Waterborn,1997,J. Gregory Keyes,Fiction,384
Cry to Heaven,1995,Anne Rice,Fiction,566
The Vampire Companion,1995,"Katherine M. Ramsland, Anne Rice",Fiction,608
Starshield Sentinels,1996,"Margaret Weis, Tracy Hickman",Fiction,421
The Mantle of Kendis-Dai,1997,"Margaret Weis, Tracy Hickman",Fiction,353
The Children of Henry VIII,1997,Alison Weir,Biography & Autobiography,385
The demon-haunted world,1996,Carl Sagan,"Body, Mind & Spirit",459
Twister,1996,"Michael Crichton, Anne-Marie Martin",,182
Does Anybody Have a Problem with That?,1997,Bill Maher,Humor,288
Friday,1997,Robert Anson Heinlein,Fiction,384
The 158-Pound Marriage,1997,John Irving,Fiction,176
The Princess Bride,2003,William Goldman,Fiction,398
Reunion,2001,Alan Dean Foster,Fiction,352
Mostly Harmless,2000,Douglas Adams,Fiction,240
"Life, the Universe and Everything",1982,Douglas Adams,Fiction,224
The Eight,1997,Katherine Neville,Fiction,624
The Queen of the Damned,1997,Anne Rice,Fiction,448
The Tale of the Body Thief,1997,Anne Rice,Fiction,468
While I Was Gone,2002,Sue Miller,Fiction,352
Tales of the Cthulhu Mythos,1998,H. P. Lovecraft,Fiction,462
Merrick,2001,Anne Rice,FICTION,370
The Straight Dope,1998,"Cecil Adams, Ed Zotti",Humor,432
Candy,1998,Luke Davies,Fiction,304
Nightsword,1999,"Margaret Weis, Tracy Hickman",Fiction,404
The Virtues of Aging,1998,Jimmy Carter,Biography & Autobiography,160
Trust Fund,2002,Stephen Frey,Fiction,358
"Star Wars, Episode I",1999,George Lucas,Fiction,150
The King of Elfland's Daughter,1999,Edward John Moreton Drax Plunkett Baron Dunsany,Fiction,240
Omerta,2001,Mario Puzo,Fiction,369
The Genome War,2005,James Shreeve,Science,392
The Analects of Confucius,1999,"Confucius, Roger T. Ames, Henry Rosemont",Fiction,352
The Real James Herriot,2001,"James Wight, Jim Wight",Biography & Autobiography,371
Angel Fire East,2000,Terry Brooks,Fiction,368
Morgawr,2003,Terry Brooks,Fiction,415
Tanequil,2005,Terry Brooks,Fiction,357
The Dress Lodger,2001,Sheri Holman,Fiction,291
Henry VIII,2002,Alison Weir,Biography & Autobiography,642
The Case of the Curious Bride,2000,Erle Stanley Gardner,Fiction,192
The Courtesan,2005,Susan Carroll,Fiction,560
The Collapse of the Common Good,2002,Philip K. Howard,Political Science,272
Drowning Ruth,2001,Christina Schwarz,Fiction,368
The Best of Lester Del Rey,2000,Lester Del Rey,Fiction,320
I Am the One that I Want,2002,Margaret Cho,Humor,228
Schmidt Delivered,2001,Louis Begley,Fiction,320
Black House,2001,"Stephen King, Peter Straub",Fiction,659
My Movie Business,2000,John Irving,Biography & Autobiography,222
The Dark Arena,2001,Mario Puzo,Fiction,288
The Sicilian,2001,Mario Puzo,Fiction,416
Time to Be in Earnest,2001,P. D. James,Biography & Autobiography,306
The Silent Gondoliers,2001,William Goldman,Fiction,128
Welcome to the Great Mysterious,2002,Lorna Landvik,Fiction,368
While I was Gone,2000,Sue Miller,Fiction,304
A Stroke of Midnight,2006,Laurell K. Hamilton,Fiction,385
The Talisman,2001,"Stephen King, Peter Straub",Fiction,735
Lights Out,2002,Peter Abrahams,Fiction,352
Edge of Victory II,2001,Greg Keyes,Fiction,292
Death in Holy Orders,2002,P. D. James,Fiction,429
A Chosen Few,2002,Mark Kurlansky,History,456
Boogaloo on 2nd Avenue,2005,Mark Kurlansky,Fiction,319
Star Wars,2002,Daniel Wallace,Fiction,224
Star Wars,2003,W. Haden Blackman,Performing Arts,200
Flinx's Folly,2004,Alan Dean Foster,Fiction,288
Clay's Quilt,2001,Silas House,Fiction,320
Sunstorm,2006,"Arthur Charles Clarke, Stephen Baxter",Fiction,356
The Ultimate Hitchhiker's Guide to the Galaxy,2002,Douglas Adams,Fiction,815
Shadow Dance,2007,Julie Garwood,Fiction,336
1968,2005,Mark Kurlansky,History,480
The Probable Future,2004,Alice Hoffman,Fiction,352
The Belgariad V.2,2002,David Eddings,,644
The Vampire Chronicles Collection,2002,Anne Rice,Fiction,1280
The Bonesetter's Daughter,2003,Amy Tan,Fiction,368
Altered Carbon,2006,Richard K. Morgan,Fiction,526
Market Forces,2005,Richard K. Morgan,Fiction,464
Tales Before Tolkien,2005,Douglas A. Anderson,Fiction,528
Body Double,2005,tess girritsen,Fiction,432
Lost and Found,2005,Alan Dean Foster,Fiction,256
